grid_x,grid_y,foot_traffic,count,foot_count,x_5179,y_5179,geometry,lat,lon
37,53,0.2517278223042802,6,4650.926548192229,960438.9228871616,1945496.2931122007,POINT (127.0523803047988 37.50789487449269),37.50789487449269,127.0523803047988
37,54,0.0499958681956888,6,923.7243168543266,960438.9228871616,1945596.2931122007,POINT (127.05237492260683 37.50879621230791),37.50879621230791,127.05237492260683
37,55,0.0915347557811582,5,1691.1973489775116,960438.9228871616,1945696.2931122007,POINT (127.05236954017512 37.509697549984594),37.509697549984594,127.05236954017512
37,56,0.1835445725695857,4,3391.171931359319,960438.9228871616,1945796.2931122007,POINT (127.05236415750369 37.51059888752272),37.51059888752272,127.05236415750369
37,57,0.087366593026516,4,1614.1863192260266,960438.9228871616,1945896.2931122007,POINT (127.05235877459246 37.51150022492232),37.51150022492232,127.05235877459246
37,58,0.0989378221174001,4,1827.976499752655,960438.9228871616,1945996.2931122007,POINT (127.05235339144146 37.51240156218337),37.51240156218337,127.05235339144146
37,59,0.1587719992305789,4,2933.4735412697355,960438.9228871616,1946096.2931122007,POINT (127.05234800805067 37.51330289930587),37.51330289930587,127.05234800805067
37,60,0.1577210758052363,4,2914.0566662723636,960438.9228871616,1946196.2931122007,POINT (127.05234262442009 37.51420423628981),37.51420423628981,127.05234262442009
37,61,0.1260116960433259,4,2328.193749684971,960438.9228871616,1946296.2931122007,POINT (127.05233724054969 37.51510557313521),37.51510557313521,127.05233724054969
37,62,0.1200358772988501,3,2217.7844441443544,960438.9228871616,1946396.2931122007,POINT (127.05233185643948 37.51600690984205),37.51600690984205,127.05233185643948
37,63,0.073498923936997,4,1357.967083149586,960438.9228871616,1946496.2931122007,POINT (127.05232647208942 37.516908246410345),37.516908246410345,127.05232647208942
37,64,0.1043910954680056,4,1928.7312497390217,960438.9228871616,1946596.2931122007,POINT (127.05232108749954 37.51780958284009),37.51780958284009,127.05232108749954
37,65,0.0860534903233711,2,1589.9254164515314,960438.9228871616,1946696.2931122007,POINT (127.05231570266977 37.518710919131266),37.518710919131266,127.05231570266977
37,66,0.1288029277329999,4,2379.764583011325,960438.9228871616,1946796.2931122007,POINT (127.05231031760015 37.5196122552839),37.5196122552839,127.05231031760015
37,67,0.090781670373669,4,1677.2833331063778,960438.9228871616,1946896.2931122007,POINT (127.05230493229067 37.52051359129797),37.52051359129797,127.05230493229067
37,68,0.0292178610006986,2,539.8295832602884,960438.9228871616,1946996.2931122007,POINT (127.05229954674125 37.521414927173474),37.521414927173474,127.05229954674125
37,69,0.0724055366697696,4,1337.765645652318,960438.9228871616,1947096.2931122007,POINT (127.05229416095199 37.52231626291044),37.52231626291044,127.05229416095199
