geometry_wkt,building_area_total,building_count
"POLYGON ((957900 1945500, 957900 1945600, 958000 1945600, 958000 1945500, 957900 1945500))",143.32,15
"POLYGON ((957900 1945600, 957900 1945700, 958000 1945700, 958000 1945600, 957900 1945600))",159.92,12
"POLYGON ((957900 1945700, 957900 1945800, 958000 1945800, 958000 1945700, 957900 1945700))",184.16,10
"POLYGON ((957900 1945800, 957900 1945900, 958000 1945900, 958000 1945800, 957900 1945800))",202.2,4
"POLYGON ((957900 1945900, 957900 1946000, 958000 1946000, 958000 1945900, 957900 1945900))",312.65,1
"POLYGON ((957900 1946000, 957900 1946100, 958000 1946100, 958000 1946000, 957900 1946000))",444.11,1
"POLYGON ((957900 1946100, 957900 1946200, 958000 1946200, 958000 1946100, 957900 1946100))",353.63,1
"POLYGON ((957900 1946200, 957900 1946300, 958000 1946300, 958000 1946200, 957900 1946200))",291.42,0
"POLYGON ((957900 1946300, 957900 1946400, 958000 1946400, 958000 1946300, 957900 1946300))",287.45,0
"POLYGON ((957900 1946400, 957900 1946500, 958000 1946500, 958000 1946400, 957900 1946400))",212.84,6
"POLYGON ((957900 1946500, 957900 1946600, 958000 1946600, 958000 1946500, 957900 1946500))",181.9,2
"POLYGON ((957900 1946600, 957900 1946700, 958000 1946700, 958000 1946600, 957900 1946600))",582.17,0
"POLYGON ((957900 1946700, 957900 1946800, 958000 1946800, 958000 1946700, 957900 1946700))",169.69,4
"POLYGON ((957900 1946800, 957900 1946900, 958000 1946900, 958000 1946800, 957900 1946800))",172.57,4
"POLYGON ((957900 1946900, 957900 1947000, 958000 1947000, 958000 1946900, 957900 1946900))",128.06,10
"POLYGON ((957900 1947000, 957900 1947100, 958000 1947100, 958000 1947000, 957900 1947000))",120.44,13
"POLYGON ((957900 1947100, 957900 1947200, 958000 1947200, 958000 1947100, 957900 1947100))",105.14,8
"POLYGON ((957900 1947200, 957900 1947300, 958000 1947300, 958000 1947200, 957900 1947200))",619.05,0
"POLYGON ((957900 1947300, 957900 1947400, 958000 1947400, 958000 1947300, 957900 1947300))",178.18,0
"POLYGON ((957900 1947400, 957900 1947500, 958000 1947500, 958000 1947400, 957900 1947400))",517.38,0
"POLYGON ((957900 1947500, 957900 1947600, 958000 1947600, 958000 1947500, 957900 1947500))",668.27,0
"POLYGON ((957900 1947600, 957900 1947700, 958000 1947700, 958000 1947600, 957900 1947600))",479.51,3
"POLYGON ((957900 1947700, 957900 1947800, 958000 1947800, 958000 1947700, 957900 1947700))",855.06,0
"POLYGON ((957900 1947800, 957900 1947900, 958000 1947900, 958000 1947800, 957900 1947800))",651.81,0
"POLYGON ((957900 1947900, 957900 1948000, 958000 1948000, 958000 1947900, 957900 1947900))",809.76,0
"POLYGON ((957900 1948000, 957900 1948100, 958000 1948100, 958000 1948000, 957900 1948000))",0.0,0
"POLYGON ((957900 1948100, 957900 1948200, 958000 1948200, 958000 1948100, 957900 1948100))",0.0,0
"POLYGON ((957900 1948200, 957900 1948300, 958000 1948300, 958000 1948200, 957900 1948200))",0.0,0
"POLYGON ((957900 1948300, 957900 1948400, 958000 1948400, 958000 1948300, 957900 1948300))",0.0,0
"POLYGON ((957900 1948400, 957900 1948500, 958000 1948500, 958000 1948400, 957900 1948400))",0.0,0
"POLYGON ((957900 1948500, 957900 1948600, 958000 1948600, 958000 1948500, 957900 1948500))",0.0,0
"POLYGON ((957900 1948600, 957900 1948700, 958000 1948700, 958000 1948600, 957900 1948600))",0.0,0
"POLYGON ((958000 1944700, 958000 1944800, 958100 1944800, 958100 1944700, 958000 1944700))",0.0,0
"POLYGON ((958000 1944800, 958000 1944900, 958100 1944900, 958100 1944800, 958000 1944800))",704.0,0
