연번,자치구명,설치위치(도로명 주소),세부 위치,설치 장소 유형,수거 쓰레기 종류,lat1,lon1,snapped_geometry,geometry,lat,lng,grid_x,grid_y
4862,강남구,남부순환로 2909,여천빌딩앞,도로변(횡단보도 포함),일반쓰레기,37.4921823099018,127.057410744328,POINT (960885.9790969279 1943731.0600321705),POINT (127.05753234558115 37.49200318694337),37.49200318694337,127.05753234558115,63528,18746
4863,강남구,남부순환로 2909,여천빌딩앞,도로변(횡단보도 포함),재활용쓰레기,37.4921823099018,127.057410744328,POINT (960885.9790969279 1943731.0600321705),POINT (127.05753234558115 37.49200318694337),37.49200318694337,127.05753234558115,63528,18746
4864,강남구,남부순환로 2753,롯데시네마앞,도로변(횡단보도 포함),일반쓰레기,37.4874807715334,127.04698960023,POINT (959964.690904542 1943211.4424678127),POINT (127.04713907203205 37.487280174248085),37.487280174248085,127.04713907203205,63523,18743
4865,강남구,남부순환로 2753,롯데시네마앞,도로변(횡단보도 포함),재활용쓰레기,37.4874807715334,127.04698960023,POINT (959964.690904542 1943211.4424678127),POINT (127.04713907203205 37.487280174248085),37.487280174248085,127.04713907203205,63523,18743
4866,강남구,선릉로 206,(남부순환로)도곡역 2번출구 앞,지하철역 입구,일반쓰레기,37.4914644228405,127.055641674701,POINT (960733.8212965605 1943645.4867861078),POINT (127.05581571309072 37.491225421401346),37.491225421401346,127.05581571309072,63527,18745
4867,강남구,선릉로 206,(남부순환로)도곡역 2번출구 앞,지하철역 입구,재활용쓰레기,37.4914644228405,127.055641674701,POINT (960733.8212965605 1943645.4867861078),POINT (127.05581571309072 37.491225421401346),37.491225421401346,127.05581571309072,63527,18745
4868,강남구,남부순환로 2912,그랑프리상가 앞 버스정류장(23-228),"정류소(버스,택시 등)",일반쓰레기,37.4907059879875,127.056142941592,POINT (960744.9963758398 1943618.303364043),POINT (127.0559435741208 37.49098088131519),37.49098088131519,127.0559435741208,63527,18745
4869,강남구,남부순환로 2912,그랑프리상가 앞 버스정류장(23-228),"정류소(버스,택시 등)",재활용쓰레기,37.4907059879875,127.056142941592,POINT (960744.9963758398 1943618.303364043),POINT (127.0559435741208 37.49098088131519),37.49098088131519,127.0559435741208,63527,18745
4870,강남구,삼성로 155,(남부순환로)대치역7번출구 앞,지하철역 입구,일반쓰레기,37.4938813994708,127.062951852624,POINT (961350.8372982541 1943963.7898003797),POINT (127.06277856962247 37.49412045423325),37.49412045423325,127.06277856962247,63531,18747
4871,강남구,삼성로 155,(남부순환로)대치역7번출구 앞,지하철역 입구,재활용쓰레기,37.4938813994708,127.062951852624,POINT (961350.8372982541 1943963.7898003797),POINT (127.06277856962247 37.49412045423325),37.49412045423325,127.06277856962247,63531,18747
4872,강남구,삼성로 150,(남부순환로) 미도아파트201동 앞 버스정류장(23-238),"정류소(버스,택시 등)",일반쓰레기,37.4956953356085,127.068564672209,POINT (961852.7512550579 1944163.1193197682),POINT (127.06844602082283 37.495937971399485),37.495937971399485,127.06844602082283,63534,18747
4873,강남구,삼성로 150,(남부순환로) 미도아파트201동 앞 버스정류장(23-238),"정류소(버스,택시 등)",재활용쓰레기,37.4956953356085,127.068564672209,POINT (961852.7512550579 1944163.1193197682),POINT (127.06844602082283 37.495937971399485),37.495937971399485,127.06844602082283,63534,18747
4874,강남구,남부순환로 3104,학여울역 1번출구 앞,지하철역 입구,일반쓰레기,37.4956786590374,127.071912029293,POINT (962128.0896515059 1944142.8615393133),POINT (127.07156184501116 37.49576671692102),37.49576671692102,127.07156184501116,63535,18747
4875,강남구,남부순환로 3104,학여울역 2번출구 앞,지하철역 입구,재활용쓰레기,37.4956786590374,127.071912029293,POINT (962128.0896515059 1944142.8615393133),POINT (127.07156184501116 37.49576671692102),37.49576671692102,127.07156184501116,63535,18747
4876,강남구,남부순환로 2807,숙명여고앞 버스정류장(23-329),"정류소(버스,택시 등)",일반쓰레기,37.4914753613052,127.052612582715,POINT (960459.7080768484 1943659.4991891573),POINT (127.05271424058708 37.491340022044305),37.491340022044305,127.05271424058708,63526,18745
4877,강남구,남부순환로 2807,숙명여고앞 버스정류장(23-329),"정류소(버스,택시 등)",재활용쓰레기,37.4914753613052,127.052612582715,POINT (960459.7080768484 1943659.4991891573),POINT (127.05271424058708 37.491340022044305),37.491340022044305,127.05271424058708,63526,18745
